"Rank_name","Rank_Post","Rank_Name","Rank_Year","Rank_IMDbRating"
"81 ( 28)","https://m.media-amazon.com/images/M/MV5BMjMzMDYxNzA3MV5BMl5BanBnXkFtZTgwNDAzNDQ4NTM@._V1_UY67_CR0,0,45,67_AL_.jpg","Castle Rock","(2018)","8.0"
"82 ( 6)","https://m.media-amazon.com/images/M/MV5BNjBmZmI0ZDktODI2MS00MDU1LTk0NDYtNGE0MDc0OWVkYzcwXkEyXkFqcGdeQXVyMzAzNTY3MDM@._V1_UY67_CR0,0,45,67_AL_.jpg","Once Upon a Time","(2011)","7.8"
"83 ( 39)","https://m.media-amazon.com/images/M/MV5BMTEyODg2NzkwMDBeQTJeQWpwZ15BbWU4MDQwODI3MzIx._V1_UY67_CR0,0,45,67_AL_.jpg","Sons of Anarchy","(2008)","8.6"
"84 ( 22)","https://m.media-amazon.com/images/M/MV5BMjY0NTE1ODU3OV5BMl5BanBnXkFtZTgwOTI4NDQwMDI@._V1_UX45_CR0,0,45,67_AL_.jpg","Blue Bloods","(2010)","7.5"
"85 ( 368)","https://m.media-amazon.com/images/M/MV5BZmI5OTRhZjItZDc3NS00M2JhLWI4ZTEtMjk2MDM1NTAxMGE4XkEyXkFqcGdeQXVyMTA5NTYxNjU@._V1_UY67_CR22,0,45,67_AL_.jpg","The Cry","(2018)","6.6"
"86 ( 284)","https://m.media-amazon.com/images/M/MV5BNjM3OTFhMjUtMDlkMC00NGQ5LTgxNDMtNGY2YjRmNzljMmRmXkEyXkFqcGdeQXVyNTA4NzY1MzY@._V1_UX45_CR0,0,45,67_AL_.jpg","Saturday Night Live","(1975)","8.1"
"87 ( 8)","https://m.media-amazon.com/images/M/MV5BMjM2Njg2NjExOV5BMl5BanBnXkFtZTgwMzU5OTQwNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","The Cool Kids","(2018)","6.8"
"88 ( 4)","https://m.media-amazon.com/images/M/MV5BMjI4MTU0NzE1OF5BMl5BanBnXkFtZTgwODI3NDc0OTE@._V1_UX45_CR0,0,45,67_AL_.jpg","Lucifer","(2015)","8.2"
"89 ( 127)","https://m.media-amazon.com/images/M/MV5BMWQxMWI3ZmYtYjQzMC00M2MyLTliN2YtMzgyZTQ2OThhZWQ4XkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","SEAL Team","(2017)","7.0"
"90 ( 12)","https://m.media-amazon.com/images/M/MV5BMjRiNDRhNGUtMzRkZi00MThlLTg0ZDMtNjc5YzFjYmFjMmM4XkEyXkFqcGdeQXVyNzQ1ODk3MTQ@._V1_UY67_CR1,0,45,67_AL_.jpg","Rick and Morty","(2013)","9.3"
"91 ( 22)","https://m.media-amazon.com/images/M/MV5BMDEyN2U1YTItNDY1Zi00YjljLWI5YzItNWU3YWViYjhiZTgxXkEyXkFqcGdeQXVyNjg4NzAyOTA@._V1_UX45_CR0,0,45,67_AL_.jpg","Elementary","(2012)","7.9"
"92 ( 308)","https://m.media-amazon.com/images/M/MV5BMjI1NzgxOTgyMF5BMl5BanBnXkFtZTgwNjU1ODIyNjM@._V1_UY67_CR0,0,45,67_AL_.jpg","God Friended Me","(2018)","6.5"
"93 ( 13)","https://m.media-amazon.com/images/M/MV5BMjM0MDA2NDEzNF5BMl5BanBnXkFtZTgwODYzNjg4NTM@._V1_UX45_CR0,0,45,67_AL_.jpg","You","(2018)","8.1"
"94 ( 36)","https://m.media-amazon.com/images/M/MV5BZGJiNmM1NDctNWUxYS00YzE4LWJjNTgtYTJhYzE0NjFmMTMwXkEyXkFqcGdeQXVyNTAyODkwOQ@@._V1_UX45_CR0,0,45,67_AL_.jpg","Bob's Burgers","(2011)","8.1"
"95 ( 432)","https://m.media-amazon.com/images/M/MV5BZmQ1NTg2MmMtODMzYi00MzMxLThjMjgtZWEyNWZjZmNjM2M1XkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX45_CR0,0,45,67_AL_.jpg","The Neighborhood","(2018)","5.0"
"96 ( 2)","https://m.media-amazon.com/images/M/MV5BZmU5YmIzMWQtNTRmYS00NWFmLWFkODctYTAzYjQ5ODM1ODllXkEyXkFqcGdeQXVyMTMxODk2OTU@._V1_UX45_CR0,0,45,67_AL_.jpg","Kidding","(2018)","7.3"
"97 ( 41)","https://m.media-amazon.com/images/M/MV5BOWFjYTM5NTEtNmM2OC00OGIxLThiZmYtMDAyMWZiZTQ2MzMzXkEyXkFqcGdeQXVyNjkwNzEwMzU@._V1_UX45_CR0,0,45,67_AL_.jpg","The Marvelous Mrs. Maisel","(2017)","8.7"
"98 ( 9)","https://m.media-amazon.com/images/M/MV5BZGIxZmU2MDQtMWU4My00ZTkzLWE1ZjItY2U0NTE2ZDA0ZWVhXkEyXkFqcGdeQXVyODUxOTU0OTg@._V1_UY67_CR0,0,45,67_AL_.jpg","Chicago Med","(2015)","7.5"
"99 ( 13)","https://m.media-amazon.com/images/M/MV5BMTc1ODI5OTIyOV5BMl5BanBnXkFtZTgwNDUzNDk2NTM@._V1_UX45_CR0,0,45,67_AL_.jpg","Wynonna Earp","(2016)","7.5"
"100 ( 610)","https://m.media-amazon.com/images/M/MV5BMDJiNzhjNjItMDNiMy00ZjMwLWFhNWUtZDNiZmQxNDljMmYwXkEyXkFqcGdeQXVyMTExNDQ2MTI@._V1_UX45_CR0,0,45,67_AL_.jpg","Happy Together","(2018)","5.1"
